anon_id,n281600,g321601,n454701,w231401,w241216,g321612,w241206,m241201,w341203,n261608,m261501,w161401,g321619,g321618,w161502,g321610,n261601,w341212,w341212,g321620,n381601,w161501,g321638,w341208,w241214,w161502,w341201,m161100,g321616,g431305,n161604,m241203,g321625,n261603,g321617,m141204,n281600,n351700,g321616,g321614,g321613,w241218,w231403,w261403,g596800,w141100,w241203,m141212,g321603,g321200,g321633,w341206,n251600,m261502,m313700,w241202,w161202,w231402,n151700,w341210,w341209,w341212,w341202,w341211,g414701,w241204,g321607,g234700,m141207,g234700,w241222,g321627,n266500,n265700,g321605,n381601,g321646,g321629,g321630,n261610,n361600,n151600,g321626,m263500,n261609,n454800,m264700,n261607,n261503,n261501,n261606,n161605,g431305
g321612,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g321613,0,2,0,1,1,0,0,0,2,0,2,1,1,1,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,1,1,0,1,0,2,0,0,2,0,2,2,0,0,0,2,1,2,1,0,0,1,0,2,2,0,0,2,0,0,1,0
g321613,0,2,0,1,0,0,0,0,1,0,2,1,1,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,2,2,0,0,2,0,0,0,0
g321613,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
g321613,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
g321613,0,2,0,0,0,0,0,0,2,0,0,1,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
g321615,0,2,0,0,0,2,2,0,2,0,2,0,2,0,0,1,0,2,1,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
g321615,0,2,0,0,0,0,0,0,2,0,2,0,2,0,0,1,0,2,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g321615,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g321615,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g321615,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g321614,0,2,0,1,1,0,1,0,1,0,2,0,1,2,2,1,1,0,0,0,0,2,2,0,1,2,0,1,0,0,2,0,1,2,2,0,2,1,0,2,1,1,1,1,0,0,0,0,1,1,2,1,0,0,0,0,0,2,2,1,0,0,0,0,0,2,2,2,1,2,0,2,2,0,2,0,2,1,2,2,1,2,0,0,0,0,0,0,2,0,0,1,0
g321614,0,2,0,2,1,0,1,0,1,0,2,0,1,2,2,1,0,0,0,0,0,2,2,0,1,2,1,1,0,0,2,0,1,0,2,0,0,0,0,2,1,1,1,1,0,0,1,0,2,1,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,1,2,1,0,1,0,2,0,2,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0
g321614,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
g321614,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,2,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
g321614,0,2,0,0,0,0,1,0,1,0,2,0,1,2,2,1,0,0,0,0,0,2,2,0,0,2,1,0,0,0,2,0,0,0,2,0,1,0,0,2,0,2,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,2,1,2,0,2,1,0,2,0,2,1,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0
g321616,0,2,0,0,0,1,0,0,1,2,2,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0
g321616,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
g321616,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g321616,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g321616,0,2,0,0,0,1,0,0,1,2,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
g321617,0,2,1,2,2,1,0,0,2,0,2,1,2,1,2,1,0,2,1,1,0,1,2,0,0,2,0,0,1,0,0,1,0,2,0,0,1,1,1,2,1,0,1,2,0,0,0,0,2,1,0,2,0,0,0,0,0,1,0,1,2,2,1,0,0,2,2,0,0,2,0,0,2,0,1,0,2,1,2,2,0,1,1,0,2,1,0,0,2,0,0,1,0
g321617,0,2,1,2,2,0,0,0,1,0,2,1,2,2,2,1,0,1,1,1,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,1,2,1,0,1,2,0,0,0,0,2,1,0,2,0,0,0,0,0,1,0,0,1,2,1,1,1,2,2,0,0,0,0,0,1,0,1,0,2,1,0,0,0,2,0,0,2,1,0,0,2,0,0,0,0
g321617,0,2,0,0,2,0,0,0,2,0,2,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g321617,0,2,0,0,1,0,0,0,1,0,2,1,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g321617,0,2,0,0,2,0,0,0,2,0,2,1,2,1,2,1,0,2,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,1,2,1,0,1,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0
g321638,0,2,1,1,0,2,0,0,1,0,2,0,2,2,2,2,0,2,0,1,1,0,2,0,0,2,0,0,1,0,1,0,1,0,1,0,1,1,2,2,2,0,0,2,0,0,1,0,2,1,2,2,0,0,0,0,0,0,2,1,0,1,1,0,1,0,2,0,0,2,1,2,2,0,0,2,2,1,2,1,0,1,1,1,1,2,0,0,2,0,0,1,0
g321638,0,2,1,0,0,0,0,0,1,0,2,0,2,2,2,2,0,2,0,1,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,0,0,2,0,0,1,0,2,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,2,0,0,2,0,0,2,2,1,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0
g321638,0,2,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
g321638,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
g321638,0,2,0,0,0,2,0,0,1,0,2,0,2,2,2,2,0,2,0,1,1,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,2,2,2,0,0,2,0,0,0,0,2,1,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,2,0,1,0,0,0,1,1,0,1,2,0,0,0,0,0,1,0
g321622,0,2,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
g321622,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g321622,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g321622,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g321622,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g321619,0,2,0,0,1,2,0,0,2,0,2,0,2,2,0,0,0,0,1,2,0,0,2,0,2,0,0,0,2,0,0,2,0,0,2,0,1,1,2,1,1,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,2,1,0,1,2,2,0,0,0,1,0,1,0,1,0,2,1,2,0,0,0,0,0,2,1,0,1,2,0,0,2,0
g321619,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,2,1,0,0,2,0,0,1,0
g321619,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
g321619,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g321619,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0
g321618,0,2,0,0,0,0,1,0,1,0,2,0,1,2,0,1,0,0,1,1,0,0,2,0,1,1,0,1,0,0,0,0,0,2,2,2,0,0,1,2,2,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,2,1,1,2,1,0,0,2,2,2,0,2,1,2,1,0,1,0,2,1,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0
g321618,0,2,0,0,0,0,0,0,1,0,2,0,1,2,0,1,0,0,1,1,0,0,2,2,0,1,0,1,0,0,0,0,0,0,1,2,0,1,1,2,2,0,1,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,2,0,0,2,1,1,2,2,2,2,0,2,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
g321618,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
g321618,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g321618,0,2,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,1,2,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,2,2,0,2,0,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
g321624,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,2,1,0,1,0,1,0,2,2,0,2,2,0,0,0,1,0,1,0,0,0,0
g321624,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
g321624,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
g321624,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
g321624,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,2,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
g321625,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,2,0,0,0,1,0,2,1,0,2,2,0,0,0,0,0,1,0,0,0,0
g321625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
g321625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
g321625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
g321625,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0
g414707,0,2,1,2,0,1,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0
g414707,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
g414707,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g414707,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g414707,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
g414701,0,2,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,2,2,2,0,1,0,0,0,0,0,2,1,2,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,2,0,2,0,2,0,0,1,0,0,1,2,0,0,2,0,0,2,0
g414701,0,2,0,0,0,0,0,0,1,0,2,0,2,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,2,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,2,0,2,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0
g414701,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
g414701,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
g414701,0,2,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,2,0,1,0,0,0,0,0,1,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0
g414706,0,1,0,2,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,2,2,1,0,0,1,2,0,2,0,0,0,0,0,1,0,2,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0
g414706,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
g414706,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
g414706,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g414706,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
